Edad,Genero,Rol,Industria,Años_Expe,Ubicacion,Hrs_semana,Balance_vida_trabajo,Nivel_estres,Salud_Mental,Recurso_SaludM,Cambio_en_productividad,Calificación_aislamientoS,Satisfacción_trabajo,Apoyo_de_empresa,Calidad_del_sueño,Region
40,Female,Data Scientist,IT,3,Remote,52,1,Medium,Anxiety,No,Increase,3.0,Satisfied,2,Good,Asia
59,Non-binary,Software Engineer,Education,22,Hybrid,46,5,Medium,Anxiety,No,No Change,4.0,Unsatisfied,5,Poor,North America
27,Male,Software Engineer,Finance,20,Onsite,32,4,High,Depression,Yes,Increase,3.0,Unsatisfied,3,Poor,Europe
49,Male,Sales,Consulting,32,Onsite,35,2,High,Anxiety,Yes,Decrease,3.0,Unsatisfied,3,Average,North America
59,Non-binary,Sales,IT,31,Hybrid,39,4,High,Anxiety,No,Increase,5.0,Unsatisfied,1,Average,South America
31,Prefer not to say,Sales,IT,24,Remote,51,3,Low,Anxiety,Yes,Decrease,5.0,Neutral,3,Poor,Asia
42,Non-binary,Data Scientist,Manufacturing,6,Onsite,54,2,Medium,Depression,No,Decrease,5.0,Satisfied,4,Average,North America
56,Prefer not to say,Data Scientist,Healthcare,9,Hybrid,24,2,High,Anxiety,Yes,Decrease,2.0,Unsatisfied,4,Poor,Europe
33,Non-binary,Software Engineer,Finance,17,Remote,48,3,High,Anxiety,Yes,Decrease,4.0,Satisfied,2,Average,Oceania
40,Female,Marketing,Consulting,1,Remote,21,2,High,Depression,Yes,Decrease,2.0,Neutral,1,Good,Europe
51,Non-binary,Designer,Manufacturing,5,Hybrid,45,1,Low,Anxiety,No,Decrease,2.0,Satisfied,5,Poor,North America
36,Prefer not to say,Project Manager,Retail,23,Remote,59,3,High,Anxiety,Yes,Decrease,5.0,Neutral,3,Average,Oceania
56,Female,Project Manager,Healthcare,17,Remote,44,4,Low,Anxiety,No,No Change,5.0,Satisfied,4,Average,Africa
33,Prefer not to say,HR,Education,3,Onsite,52,2,Medium,Anxiety,No,No Change,1.0,Satisfied,1,Good,Africa
53,Non-binary,Project Manager,Consulting,20,Onsite,37,3,Low,Burnout,Yes,Decrease,5.0,Neutral,5,Good,Europe
26,Male,Sales,Retail,33,Hybrid,21,2,High,Burnout,No,Increase,2.0,Satisfied,1,Poor,South America
26,Non-binary,Sales,Education,17,Onsite,54,2,Medium,Depression,No,Decrease,3.0,Unsatisfied,4,Poor,North America
43,Prefer not to say,Sales,Finance,21,Onsite,57,3,Low,Depression,No,Increase,3.0,Satisfied,4,Average,Oceania
56,Male,Sales,Finance,6,Remote,39,3,Low,Burnout,No,Increase,2.0,Neutral,4,Average,North America
36,Non-binary,Project Manager,Retail,30,Onsite,24,3,High,Anxiety,No,Decrease,4.0,Unsatisfied,4,Good,North America
53,Female,Project Manager,Retail,31,Onsite,56,4,Low,Depression,No,No Change,4.0,Unsatisfied,4,Poor,Oceania
47,Prefer not to say,Sales,IT,22,Onsite,33,3,High,Depression,No,Decrease,4.0,Satisfied,1,Poor,Europe
59,Male,Software Engineer,Healthcare,34,Remote,25,2,High,Depression,Yes,No Change,3.0,Satisfied,1,Poor,North America
22,Female,Data Scientist,IT,22,Onsite,20,1,Low,Anxiety,Yes,No Change,5.0,Neutral,2,Average,Asia
37,Male,Marketing,Manufacturing,4,Hybrid,33,2,Medium,Depression,No,Decrease,3.0,Satisfied,5,Average,North America
45,Prefer not to say,Project Manager,Manufacturing,29,Remote,20,2,Medium,Anxiety,Yes,Decrease,5.0,Satisfied,5,Good,North America
48,Male,Software Engineer,Healthcare,27,Remote,26,3,Medium,Anxiety,Yes,No Change,5.0,Neutral,4,Average,North America
36,Male,Designer,IT,24,Hybrid,22,4,Medium,Depression,No,No Change,1.0,Unsatisfied,3,Average,Europe
46,Prefer not to say,Sales,Healthcare,28,Hybrid,57,4,Low,Anxiety,No,No Change,1.0,Neutral,5,Poor,Europe
48,Male,Sales,Finance,10,Onsite,30,1,Low,Anxiety,Yes,Decrease,5.0,Satisfied,3,Poor,Asia
31,Female,Designer,Healthcare,18,Remote,47,2,Low,Anxiety,Yes,Increase,2.0,Satisfied,5,Good,Asia
24,Non-binary,Sales,IT,17,Onsite,48,4,Low,Anxiety,Yes,No Change,3.0,Neutral,1,Average,Africa
49,Male,Marketing,Consulting,20,Hybrid,20,3,High,Anxiety,No,Increase,1.0,Unsatisfied,5,Poor,Asia
30,Non-binary,Data Scientist,IT,22,Remote,44,4,High,Burnout,No,Decrease,1.0,Neutral,5,Poor,Europe
53,Male,Project Manager,IT,14,Onsite,29,2,Low,Anxiety,No,No Change,1.0,Unsatisfied,5,Good,North America
54,Prefer not to say,Project Manager,Finance,17,Remote,58,3,High,Anxiety,Yes,Increase,3.0,Unsatisfied,3,Poor,Europe
54,Female,Project Manager,Manufacturing,12,Remote,53,4,Medium,Depression,Yes,No Change,1.0,Unsatisfied,3,Average,Europe
57,Prefer not to say,HR,Retail,13,Remote,23,3,High,Anxiety,Yes,No Change,5.0,Neutral,2,Good,South America
53,Male,Marketing,Retail,24,Remote,42,2,Medium,Burnout,No,No Change,2.0,Neutral,3,Poor,North America
22,Female,HR,Retail,7,Onsite,29,4,Low,Anxiety,No,Increase,2.0,Neutral,3,Poor,Africa
35,Male,Project Manager,Retail,11,Onsite,37,4,Medium,Burnout,No,No Change,1.0,Satisfied,3,Average,Europe
26,Non-binary,HR,Manufacturing,34,Onsite,39,4,High,Anxiety,Yes,Decrease,5.0,Satisfied,4,Good,Europe
47,Male,Sales,Consulting,25,Remote,31,5,Low,Anxiety,No,Decrease,4.0,Satisfied,3,Good,South America
42,Female,Software Engineer,Retail,17,Onsite,26,3,Medium,Anxiety,No,Decrease,2.0,Satisfied,2,Good,South America
60,Prefer not to say,Project Manager,Healthcare,34,Onsite,46,2,Medium,Depression,Yes,No Change,1.0,Neutral,1,Average,Asia
26,Female,Software Engineer,Education,17,Hybrid,39,1,High,Burnout,Yes,Decrease,4.0,Satisfied,1,Poor,Asia
30,Non-binary,Project Manager,Education,8,Remote,47,3,Low,Anxiety,No,Increase,3.0,Neutral,5,Good,Africa
53,Male,Software Engineer,IT,14,Remote,48,5,Low,Depression,Yes,Increase,4.0,Neutral,5,Good,Asia
53,Prefer not to say,HR,IT,7,Onsite,49,5,Low,Anxiety,No,No Change,4.0,Satisfied,3,Average,South America
26,Prefer not to say,Designer,Manufacturing,31,Remote,51,1,Low,Anxiety,No,Decrease,2.0,Unsatisfied,3,Average,Oceania
26,Prefer not to say,Data Scientist,IT,17,Remote,57,2,Medium,Anxiety,Yes,No Change,2.0,Satisfied,5,Poor,Oceania
25,Non-binary,Sales,Consulting,4,Hybrid,33,4,Medium,Depression,Yes,No Change,1.0,Unsatisfied,2,Good,Europe
33,Female,Sales,IT,14,Remote,30,2,Medium,Depression,Yes,Increase,5.0,Unsatisfied,5,Good,North America
60,Prefer not to say,Data Scientist,Healthcare,18,Hybrid,37,4,Medium,Burnout,No,No Change,2.0,Unsatisfied,2,Good,Oceania
56,Male,Project Manager,Finance,9,Remote,31,4,Medium,Anxiety,Yes,Increase,4.0,Satisfied,4,Poor,Europe
45,Non-binary,Software Engineer,IT,6,Remote,46,1,Medium,Burnout,No,Increase,3.0,Unsatisfied,2,Good,Oceania
60,Female,Marketing,Education,32,Remote,20,2,High,Anxiety,Yes,Decrease,3.0,Unsatisfied,4,Poor,Oceania
32,Female,Designer,Manufacturing,23,Onsite,51,2,High,Anxiety,Yes,Decrease,3.0,Neutral,1,Average,South America
25,Female,Marketing,Finance,6,Remote,28,2,Low,Anxiety,No,No Change,2.0,Neutral,1,Good,North America
50,Prefer not to say,Designer,Consulting,25,Remote,29,1,Medium,Depression,Yes,No Change,2.0,Neutral,2,Average,Oceania
28,Prefer not to say,Designer,Retail,15,Onsite,30,5,High,Burnout,Yes,No Change,2.0,Unsatisfied,1,Good,Africa
23,Non-binary,Software Engineer,IT,29,Hybrid,53,3,High,Anxiety,Yes,Decrease,1.0,Neutral,1,Poor,Africa
38,Prefer not to say,Project Manager,Consulting,35,Onsite,57,2,Medium,Burnout,No,No Change,3.0,Neutral,3,Poor,Africa
42,Male,Marketing,Retail,27,Onsite,49,5,High,Anxiety,Yes,No Change,4.0,Satisfied,3,Good,Asia
31,Non-binary,HR,Consulting,4,Onsite,55,4,High,Depression,No,No Change,1.0,Unsatisfied,2,Good,Europe
28,Female,Marketing,Healthcare,25,Remote,37,5,Medium,Anxiety,Yes,No Change,1.0,Satisfied,1,Average,South America
29,Male,Data Scientist,Manufacturing,15,Remote,51,2,High,Burnout,Yes,Increase,2.0,Neutral,1,Average,South America
27,Male,Project Manager,Consulting,21,Hybrid,21,5,Low,Burnout,No,No Change,4.0,Unsatisfied,3,Average,Asia
54,Female,Data Scientist,Education,5,Hybrid,21,3,High,Burnout,No,Decrease,4.0,Satisfied,4,Poor,Asia
42,Non-binary,Software Engineer,Finance,33,Onsite,44,4,High,Depression,Yes,Increase,3.0,Neutral,2,Poor,South America
58,Prefer not to say,HR,Education,32,Hybrid,26,3,High,Anxiety,Yes,Increase,5.0,Unsatisfied,2,Good,North America
26,Female,Project Manager,Healthcare,15,Hybrid,39,4,High,Burnout,Yes,Increase,5.0,Unsatisfied,3,Poor,Europe
56,Male,Designer,Retail,9,Hybrid,42,4,High,Anxiety,Yes,Decrease,2.0,Unsatisfied,5,Good,Oceania
50,Male,Designer,Finance,20,Hybrid,44,4,Low,Burnout,No,No Change,2.0,Unsatisfied,3,Poor,Asia
55,Prefer not to say,Project Manager,Manufacturing,10,Onsite,27,1,Low,Anxiety,No,Decrease,1.0,Satisfied,1,Poor,North America
22,Prefer not to say,Data Scientist,Education,26,Hybrid,43,1,Medium,Anxiety,Yes,Increase,2.0,Unsatisfied,2,Poor,Africa
24,Female,Designer,Consulting,11,Remote,38,5,High,Anxiety,Yes,Increase,5.0,Neutral,2,Poor,North America
53,Prefer not to say,Marketing,Healthcare,23,Hybrid,38,2,Low,Depression,Yes,Increase,5.0,Unsatisfied,4,Poor,Oceania
22,Female,Software Engineer,Manufacturing,9,Remote,60,1,High,Burnout,No,Decrease,3.0,Satisfied,5,Good,South America
41,Male,Data Scientist,IT,31,Onsite,29,5,Medium,Burnout,No,Increase,3.0,Satisfied,5,Good,Asia
46,Non-binary,Data Scientist,Education,34,Remote,39,4,High,Depression,Yes,Decrease,2.0,Satisfied,4,Average,Europe
60,Non-binary,Project Manager,Education,11,Onsite,31,5,High,Anxiety,No,Decrease,2.0,Neutral,4,Average,Africa
44,Female,Project Manager,Manufacturing,2,Remote,54,5,Low,Burnout,No,Decrease,1.0,Satisfied,3,Good,Asia
53,Male,Data Scientist,Healthcare,31,Hybrid,33,1,High,Burnout,No,Decrease,2.0,Neutral,5,Poor,Africa
48,Male,Designer,IT,32,Hybrid,25,4,Low,Burnout,No,Increase,4.0,Neutral,3,Average,South America
31,Prefer not to say,Data Scientist,Healthcare,19,Onsite,21,1,Low,Burnout,No,No Change,4.0,Satisfied,5,Good,Asia
53,Male,Project Manager,IT,12,Hybrid,45,2,Medium,Anxiety,No,Decrease,3.0,Satisfied,4,Good,Africa
32,Prefer not to say,Project Manager,Manufacturing,32,Onsite,53,1,Medium,Depression,No,Increase,5.0,Satisfied,1,Poor,Asia
53,Prefer not to say,Sales,Consulting,9,Hybrid,46,1,High,Burnout,No,Increase,2.0,Neutral,2,Poor,Africa
45,Prefer not to say,Sales,IT,3,Hybrid,22,4,High,Burnout,No,No Change,4.0,Satisfied,4,Good,Africa
50,Male,Software Engineer,Finance,18,Hybrid,60,4,High,Depression,Yes,Increase,4.0,Satisfied,5,Good,Africa
43,Male,Data Scientist,Healthcare,18,Onsite,60,3,High,Burnout,Yes,Increase,3.0,Neutral,3,Good,Oceania
29,Prefer not to say,HR,IT,25,Onsite,35,1,Medium,Anxiety,Yes,Decrease,4.0,Neutral,2,Good,South America
44,Prefer not to say,Software Engineer,Healthcare,27,Hybrid,44,2,High,Anxiety,No,Decrease,2.0,Satisfied,5,Poor,Europe
